time,value
2022/9/30 10:50,338.68
2022/9/30 10:55,103.83
2022/9/30 11:00,114.96
2022/9/30 11:05,310.41
2022/9/30 11:10,115.04
2022/9/30 11:15,134.31
2022/9/30 11:20,270.79
2022/9/30 11:25,324.74
2022/9/30 11:30,351.77
2022/9/30 11:35,237.04999999999998
2022/9/30 11:40,213.60999999999999
2022/9/30 11:45,353.73999999999995
2022/9/30 11:50,353.134
2022/9/30 11:55,352.528
2022/9/30 12:00,351.922
2022/9/30 12:05,351.31600000000003
2022/9/30 12:10,350.71000000000004
2022/9/30 12:15,350.104
2022/9/30 12:20,349.49800000000005
2022/9/30 12:25,348.89199999999994
2022/9/30 12:30,348.28600000000006
2022/9/30 12:35,347.67999999999995
2022/9/30 12:40,341.33
2022/9/30 12:45,223.8
2022/9/30 12:50,337.17
2022/9/30 12:55,323.78000000000003
2022/9/30 13:00,322.59000000000003
2022/9/30 13:05,310.49
2022/9/30 13:10,328.08000000000004
2022/9/30 13:15,320.92
2022/9/30 13:20,306.46999999999997
2022/9/30 13:25,87.36
2022/9/30 13:30,136.57
2022/9/30 13:35,316.94
2022/9/30 13:40,292.79
2022/9/30 13:45,294.98
2022/9/30 13:50,284.17999999999995
2022/9/30 13:55,278.75
2022/9/30 14:00,275.12
2022/9/30 14:05,269.83
2022/9/30 14:10,264.54
2022/9/30 14:15,259.25
2022/9/30 14:20,253.95999999999998
2022/9/30 14:25,246.7
2022/9/30 14:30,248.08
2022/9/30 14:35,238.42999999999998
2022/9/30 14:40,233.35999999999999
2022/9/30 14:45,228.9
2022/9/30 14:50,222.48999999999998
2022/9/30 14:55,216.08
2022/9/30 15:00,209.67000000000002
2022/9/30 15:05,203.26000000000002
2022/9/30 15:10,196.85
2022/9/30 15:15,190.44
2022/9/30 15:20,184.03000000000003
2022/9/30 15:25,153.94
2022/9/30 15:30,166.45999999999998
2022/9/30 15:35,160.85000000000002
2022/9/30 15:40,150.79
2022/9/30 15:45,142.82
2022/9/30 15:50,136.26
2022/9/30 15:55,132.13
2022/9/30 16:00,113.79
2022/9/30 16:05,112.17
2022/9/30 16:10,102.71000000000001
2022/9/30 16:15,88.55000000000001
2022/9/30 16:20,41.19
2022/9/30 16:25,43.01
2022/9/30 16:30,67.78
2022/9/30 16:35,62.199999999999996
2022/9/30 16:40,40.49
2022/9/30 16:45,40.239999999999995
2022/9/30 16:50,40.81
2022/9/30 16:55,36.64
2022/9/30 17:00,30.63
2022/9/30 17:05,26.14
2022/9/30 17:10,22.11
2022/9/30 17:15,18.19
2022/9/30 17:20,14.88
2022/9/30 17:25,12.120000000000001
2022/9/30 17:30,8.879999999999999
2022/9/30 17:35,5.74
2022/9/30 17:40,2.42
2022/9/30 17:45,0.36
2022/9/30 17:50,0
2022/9/30 17:55,0
2022/9/30 18:00,0
2022/9/30 18:05,0
2022/9/30 18:10,0
2022/9/30 18:15,0
2022/9/30 18:20,0
2022/9/30 18:25,0
2022/9/30 18:30,0
2022/9/30 18:35,0
2022/9/30 18:40,0
2022/9/30 18:45,0
2022/9/30 18:50,0
2022/9/30 18:55,0
2022/9/30 19:00,0
2022/9/30 19:05,0
2022/9/30 19:10,0
2022/9/30 19:15,0
2022/9/30 19:20,0
2022/9/30 19:25,0
2022/9/30 19:30,0
2022/9/30 19:35,0
2022/9/30 19:40,0
2022/9/30 19:45,0
2022/9/30 19:50,0
2022/9/30 19:55,0
2022/9/30 20:00,0
2022/9/30 20:05,0
2022/9/30 20:10,0
2022/9/30 20:15,0
2022/9/30 20:20,0
2022/9/30 20:25,0
2022/9/30 20:30,0
2022/9/30 20:35,0
2022/9/30 20:40,0
2022/9/30 20:45,0
2022/9/30 20:50,0
2022/9/30 20:55,0
2022/9/30 21:00,0
2022/9/30 21:05,0
2022/9/30 21:10,0
2022/9/30 21:15,0
2022/9/30 21:20,0
2022/9/30 21:25,0
2022/9/30 21:30,0
2022/9/30 21:35,0
2022/9/30 21:40,0
2022/9/30 21:45,0
2022/9/30 21:50,0
2022/9/30 21:55,0
2022/9/30 22:00,0
2022/9/30 22:05,0
2022/9/30 22:10,0
2022/9/30 22:15,0
2022/9/30 22:20,0
2022/9/30 22:25,0
2022/9/30 22:30,0
2022/9/30 22:35,0
2022/9/30 22:40,0
2022/9/30 22:45,0
2022/9/30 22:50,0
2022/9/30 22:55,0
2022/9/30 23:00,0
2022/9/30 23:05,0
2022/9/30 23:10,0
2022/9/30 23:15,0
2022/9/30 23:20,0
2022/9/30 23:25,0
2022/9/30 23:30,0
2022/9/30 23:35,0
2022/9/30 23:40,0
2022/9/30 23:45,0
2022/9/30 23:50,0
2022/9/30 23:55,0
